Timepoint,cued_E1_0,cued_E1_4,cued_E1_8,cued_E1_16,cued_E2_0,cued_E2_4,cued_E2_8,cued_E2_16,cued_E3_0,cued_E3_4,cued_E3_8,cued_E3_16,uncued_E1_0,uncued_E1_4,uncued_E1_8,uncued_E1_16,uncued_E2_0,uncued_E2_4,uncued_E2_8,uncued_E2_16,uncued_E3_0,uncued_E3_4,uncued_E3_8,uncued_E3_16
t99,3.6991173931680263,3.714326490191136,3.7154249882511587,3.799512026431546,3.7250086463798104,3.78491216725998,3.765110073059148,3.8207303064860847,3.8379580500320265,3.8721886257148923,3.861212597116509,3.8996244338296036,4.014183363166667,4.075413408994709,3.6847956560238098,3.791051777861111,3.8580800412727263,3.8639156284585967,3.7271474945951546,3.860412198701808,3.896555349805138,3.874722502496096,3.81882480292672,3.91215473070545
t100,3.7016915140217557,3.7125345268071497,3.7165034010230436,3.8003729359347482,3.726430007716009,3.7840695477327606,3.7631883609023165,3.822172711080195,3.8391237467904973,3.8720999033896106,3.8586501563668394,3.901227556038664,4.0170549568333325,4.07145647675485,3.681992188373016,3.7918590802876984,3.858266553863637,3.8624735026586188,3.7254948613416587,3.861214553042271,3.897703524181705,3.874447778102737,3.8178687611545157,3.912792051131818
t101,3.7009024652482516,3.717125193014706,3.718672419868883,3.7993374775673336,3.726670683571993,3.7857349084211505,3.7655687507362585,3.821660682443153,3.8380906116134765,3.873040592611455,3.8618432256982436,3.9010776023920215,4.01911155,4.065421786543209,3.6833415448730165,3.796575036751984,3.859199979727273,3.85860204587579,3.7253186018718787,3.861526498521008,3.8992462358395983,3.8689479909304367,3.8187339756618095,3.9121745569871593
t102,3.7095868396534577,3.7147096025523525,3.716389860385756,3.8001618335952316,3.731943254092181,3.7836202954330767,3.765880241381384,3.8222115031400365,3.8415423206116373,3.870815345486528,3.861260045910702,3.901214468754869,4.0189508075,4.070802224638448,3.684110901896825,3.792998799587301,3.8623381252272724,3.860658831356754,3.725839907350899,3.8609089980478735,3.8998058916848373,3.871227154297009,3.821590874154974,3.9123350482571224
t103,3.7042504127146465,3.7150628352827,3.717670517654765,3.7989796048596367,3.72864761484617,3.784185609827559,3.7654416696628203,3.821823891177819,3.840010796430127,3.871666204512183,3.8620358635908865,3.90165891928673,4.013246839000001,4.0752138126102295,3.680847356436508,3.7850952418571424,3.8553631475909094,3.8610733245899658,3.7254476549520477,3.8582478421349635,3.8930320726992482,3.872742854878035,3.8205878088231544,3.910547552844174
t104,3.7032055619751363,3.7174521532338054,3.719293164523987,3.796589665286176,3.728062540437435,3.786672557421915,3.7655521392623,3.819406486475485,3.83917047973717,3.8721858928253683,3.8624159347068208,3.9001466431574143,4.0262363321666665,4.071025827936508,3.682118652166666,3.789759716025794,3.8619081052727275,3.8617785611205746,3.7239195391498505,3.859282109133436,3.898891410112782,3.8716184244578864,3.818341708566333,3.911913749472113
t105,3.6995892378851982,3.7164219264424823,3.7188582937006913,3.798518900603156,3.7259900491547007,3.7843537887616847,3.7667051221264196,3.8225709735474824,3.838862468163233,3.872112783354569,3.8628778933798245,3.9023018000574963,4.021659516333334,4.070731735537919,3.6827114623968256,3.784879169751984,3.864160257863636,3.858547355517289,3.722870330504245,3.8568493778665647,3.9003322506102753,3.870842343034339,3.8196704607576377,3.909357707541466
t106,3.703276335544289,3.7175078063344897,3.7180073381583534,3.802367495439653,3.728629836841788,3.7871484304708503,3.7658275270274664,3.8238443762404217,3.840650182762252,3.8731716182812277,3.8631102956663077,3.9033450678259305,4.0232581375,4.071079508624339,3.68088087634127,3.789063233017856,3.8635664456363634,3.8558651436442175,3.7220144898301704,3.859041433511077,3.901204525545112,3.8694454810621464,3.817829647428399,3.911372203717331
t107,3.7037364552948717,3.7167719235344245,3.722194824692577,3.8048754095838837,3.7284848414415066,3.7869143401479257,3.7693276199162304,3.826287111402805,3.8412276041384397,3.8739207074539594,3.865065103349508,3.9053878145731438,4.022535171166667,4.076016270899471,3.6822753656428575,3.788622030236111,3.8639553183636366,3.8593975383780106,3.7241438587380116,3.861100316896613,3.900762028734963,3.87257293724092,3.8172032863651983,3.913545913843593
t108,3.7035078093521756,3.7164717870300032,3.7204559277351175,3.8047746790183536,3.7290112440277783,3.786291488595311,3.769223365205317,3.827311949431602,3.8406644475938747,3.873788206388344,3.865213273175656,3.906574869479384,4.023225060833333,4.073711218253968,3.6852681143333337,3.786388688974207,3.8650440671363633,3.8584650024430567,3.727066736361638,3.8584524033544687,3.9022298774104014,3.873254857769586,3.823112822600275,3.9105605204967575
t109,3.7060538846291764,3.717177192633192,3.720526678541578,3.8033779815958453,3.7317883168589554,3.7884442502136104,3.771087959132827,3.8267569811304347,3.8444368702252887,3.875760618585899,3.867731588931231,3.9057889335934313,4.021059083666667,4.07223856957672,3.686423437563493,3.788209285371032,3.86288486940909,3.856364465970141,3.727118404071679,3.8612115200150243,3.89857964389599,3.869439240318866,3.822127193938379,3.9134546995232617
t110,3.7043096271701637,3.717713654075143,3.722612788031006,3.8047116486284716,3.7319738071689885,3.7885566417076397,3.7714818079544763,3.8272003596541397,3.8445770548319076,3.8761249734593384,3.8683875545879594,3.9067099247200283,4.020325847666667,4.075191937477954,3.688615141563492,3.7931475330297615,3.8655502715000005,3.8579250001176604,3.7287111192055447,3.8627054261589002,3.9017129531904757,3.8711328725507435,3.82195754514155,3.9150782756892353
t111,3.707542754386752,3.718175387358719,3.724918512156575,3.805212884198292,3.732734807902053,3.7875702124539954,3.773710627057092,3.829070879206867,3.8453669523808975,3.875930323729037,3.8693449141642766,3.908599245153007,4.028266162833333,4.077381504373898,3.686760699047619,3.79550054265873,3.8701355920909086,3.8599073507070982,3.7289375439240766,3.864392249045328,3.906978100420426,3.87360133278964,3.8255048391346356,3.9153938322073865
t112,3.705853309903264,3.719817090755098,3.7258892306027662,3.8098952825686063,3.731378559137807,3.790611194513635,3.7726975243792493,3.831906835066789,3.8449461941642644,3.878881895892404,3.869717562357932,3.9111589798410713,4.029654317,4.079428520070547,3.6857103884285713,3.794685311468254,3.871237307272726,3.8606124607832166,3.727686060342907,3.8638467565413803,3.906997695080201,3.8730009290373024,3.8243865217303976,3.915918591519818
t113,3.707654636148213,3.7157406628538707,3.7260937922010458,3.8100827397317225,3.7329541726327755,3.788875602873779,3.7738766118835407,3.8331331079586684,3.8456305039490473,3.877463786305384,3.8708206706579658,3.911893250572448,4.030050957833334,4.078399569400353,3.6891754988095236,3.7951832189761903,3.870269630181818,3.8605308784573764,3.7296625486141357,3.865240612221033,3.907230977112782,3.8740523645502973,3.824949512624509,3.9176872050997567
t114,3.708369763538267,3.7193960927891054,3.7274170078788984,3.809432611281442,3.734414207646195,3.7921126355951897,3.775406156466886,3.833345801350288,3.846360762891959,3.880287139613818,3.8713689357556964,3.9122830879420873,4.0304121618333335,4.080310720105819,3.6907456499126985,3.7966412603829367,3.8713141105454545,3.8624361451938336,3.732078665897852,3.865661794296409,3.9072763383602753,3.8766136043642816,3.8281122398882195,3.9177967633136683
t115,3.7078207172288264,3.7226374847463015,3.7249229513421627,3.8117034721274465,3.7359958717505357,3.793950506344376,3.773773812856394,3.834917646545416,3.841068864923128,3.8818727042668093,3.871844936136187,3.9140181687073854,4.0309380726666655,4.080249872857142,3.6938346061031746,3.791748994107143,3.8730687381818187,3.861807044660201,3.733093372436064,3.8650952312803666,3.9080508063872186,3.876094162346367,3.8286822290046594,3.917330774326804
t116,3.7102618048461538,3.72382388115266,3.7281813307931033,3.8115460205766056,3.7380695219920455,3.794483061152845,3.7767386613225264,3.834783588760396,3.850087705446083,3.882668214231012,3.8737229869209377,3.913830496184733,4.02962185,4.079371615044091,3.6923087381349204,3.7996638998293655,3.871069598954546,3.8608692520491728,3.7297801304028475,3.8707233072732365,3.907308371320801,3.8730231568230686,3.827572530720185,3.9215293165696727
t117,3.7116475867770005,3.7266778226008768,3.7288947831417594,3.813759857318523,3.7371820673221636,3.7970541397577504,3.778592226262847,3.836926301362748,3.850974451406187,3.8852289725444833,3.8765243707155697,3.9162083867843207,4.030472383166666,4.090557477054674,3.693352703936508,3.796403286345238,3.871736933772728,3.8652985675264455,3.7337463022430066,3.8691823200305584,3.907999098614036,3.8824542458104268,3.8314289438080826,3.9195580236871757
t118,3.712748772164141,3.7269587041395837,3.7295089675285786,3.8147061758494845,3.7394280346739697,3.796295562764212,3.7793194642058077,3.838366113105786,3.8514189245386357,3.8848102090106402,3.876749102527266,3.917789598530123,4.032888629,4.09023839388007,3.6950264588730164,3.798751842462302,3.874513880954545,3.865284310351565,3.7360631039577923,3.8687305260753755,3.9101078397299496,3.880172673570627,3.8317351886226176,3.9211696978925294
t119,3.715389815478827,3.7285802541524737,3.7317915207863535,3.8163579335219735,3.741818489324424,3.798231485926542,3.7810736188564817,3.839301591658413,3.853497078152042,3.886667815212847,3.8781874101065745,3.919019004703923,4.035710532666667,4.089397641992945,3.6996642873968257,3.7970242082182546,3.8762696063636364,3.8669031587914864,3.735610504881619,3.871253819623123,3.9125278924924816,3.880937637176852,3.834140120680961,3.9227855449993827
t120,3.717836613968726,3.729861568123785,3.7336873453500927,3.8179700437816324,3.744735680194652,3.7986895290586276,3.782235567064395,3.8404099896003308,3.8563357015233484,3.8874710595994473,3.8796044146446134,3.9196430432060536,4.039236608833334,4.088598794215168,3.6991430370396827,3.805267681517857,3.8802977769545457,3.8654442162162006,3.738494938003496,3.87359775943672,3.9153744466008766,3.881023227578569,3.8372014758423383,3.924610089311961
t121,3.7175776972900154,3.729080343644223,3.733932403530749,3.8194776712552403,3.744780468298296,3.7993979087484298,3.7832273829865977,3.841428255699858,3.856006694397725,3.8890591392399485,3.8807606872017666,3.921204334153208,4.035007982000001,4.09475495329806,3.697480175222222,3.7973304879464287,3.8797567115,3.8691299213711288,3.7375813540874128,3.871466792088872,3.9129343279135336,3.8849231585936215,3.835411105375146,3.9243397974075434
